[2024-05-01T18:51:39.860+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-01T18:51:39.885+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.895+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.896+0000] {taskinstance.py:2303} INFO - Starting attempt 3 of 8
[2024-05-01T18:51:39.914+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): fetch_and_display_data> on 2024-05-01 18:41:38.401188+00:00
[2024-05-01T18:51:39.923+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1089) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:63} INFO - Started process 1091 to run task
[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'weather_data_pipeline', 'fetch_and_display_data', 'manual__2024-05-01T18:41:38.401188+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/demo.py', '--cfg-path', '/tmp/tmphwdz5xv8']
[2024-05-01T18:51:39.925+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask fetch_and_display_data
[2024-05-01T18:51:39.973+0000] {task_command.py:426} INFO - Running <TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [running]> on host a747c391e266
[2024-05-01T18:51:40.076+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='weather_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_and_display_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-01T18:41:38.401188+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-01T18:41:38.401188+00:00'
[2024-05-01T18:51:40.077+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-01T18:51:40.087+0000] {base.py:84} INFO - Using connection ID 'postgres_default' for task execution.
[2024-05-01T18:51:40.341+0000] {logging_mixin.py:188} INFO -             date       tavg       tmin       tmax        prcp        wdir       wspd         pres
42    2018-02-12  21.100000  22.000063  28.500000    8.540775  111.088274   5.689065  1010.424374
43    2018-02-13  20.600000  14.000000  28.000000    8.540775  111.088274   5.689065  1010.424374
44    2018-02-14  23.100000  13.700000  31.859149    8.540775  111.088274   5.689065  1010.424374
45    2018-02-15  25.400000  17.300000  34.700000    8.540775  111.088274   5.689065  1010.424374
46    2018-02-16  27.400000  18.600000  36.000000    8.540775  111.088274   5.689065  1010.424374
47    2018-02-17  26.900000  21.000000  33.600000    8.540775  111.088274   5.689065  1010.424374
48    2018-02-18  26.800000  20.600000  33.000000    8.540775  111.088274   5.689065  1010.424374
49    2018-02-19  27.700000  21.300000  34.800000    8.540775  111.088274   5.689065  1010.424374
50    2018-02-20  28.300000  22.400000  34.700000    8.540775  111.088274   5.689065  1010.424374
51    2018-02-21  26.800000  22.000063  34.900000    9.900000  111.088274   5.689065  1010.424374
52    2018-02-22  23.500000  22.000000  26.400000    6.400000  111.088274   5.689065  1010.424374
53    2018-02-23  23.000000  22.000063  28.500000    0.300000  111.088274   5.689065  1010.424374
54    2018-02-24  25.300000  19.100000  31.600000    8.540775  111.088274   5.689065  1010.424374
55    2018-02-25  25.600000  22.000063  33.000000    8.540775  111.088274   5.689065  1010.424374
56    2018-02-26  26.200000  19.300000  32.200000    8.540775  111.088274   5.689065  1010.424374
57    2018-02-27  26.400000  20.500000  32.200000    8.540775  111.088274   5.689065  1010.424374
58    2018-02-28  27.900000  21.000000  31.859149    8.540775  111.088274   5.689065  1010.424374
59    2018-03-01  27.600000  21.800000  33.000000    8.540775  111.088274   5.689065  1010.424374
60    2018-03-02  29.100000  23.900000  31.859149    9.900000  111.088274   5.689065  1010.424374
61    2018-03-03  27.800000  24.800000  34.200000   15.000000  111.088274   5.689065  1010.424374
62    2018-03-04  29.300000  22.000063  36.700000    8.540775  111.088274   5.689065  1010.424374
63    2018-03-05  30.700000  23.500000  37.500000    8.540775  111.088274   5.689065  1010.424374
64    2018-03-06  28.400000  24.100000  34.200000    8.540775  111.088274   5.689065  1010.424374
65    2018-03-07  29.400000  23.400000  34.700000    8.540775  111.088274   5.689065  1010.424374
66    2018-03-08  25.100000  22.000063  31.859149    8.540775  111.088274   5.689065  1010.424374
67    2018-03-09  21.100000  22.000063  31.859149    8.540775  111.088274   5.689065  1010.424374
68    2018-03-10  23.700000  14.600000  30.600000    8.540775  111.088274   5.689065  1010.424374
69    2018-03-11  24.700000  19.700000  31.859149    8.540775  111.088274   5.689065  1010.424374
