,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
115,2018-04-26,27.7,23.4,,1.3,,,,,,
116,2018-04-27,30.0,24.7,,0.5,,,,,,
117,2018-04-28,27.3,,32.6,3.8,,,,,,
118,2018-04-29,26.0,,31.2,38.9,,,,,,
119,2018-04-30,26.8,23.8,,0.0,,,,,,
120,2018-05-01,28.8,24.6,34.3,0.0,,,,,,
121,2018-05-02,28.1,25.2,,,,,,,,
122,2018-05-03,29.3,24.6,,,,,,,,
123,2018-05-04,28.9,24.4,,,,,,,,
124,2018-05-05,27.3,,33.1,25.9,,,,,,
125,2018-05-06,27.6,24.3,,8.9,,,,,,
126,2018-05-07,30.0,24.8,,,,,,,,
127,2018-05-08,29.2,27.0,34.3,,,,,,,
128,2018-05-09,29.2,,,,,,,,,
129,2018-05-10,28.1,25.3,33.7,0.0,,,,,,
130,2018-05-11,30.0,25.1,,0.0,,,,,,
131,2018-05-12,29.6,25.7,35.5,0.0,,,,,,
132,2018-05-13,30.3,25.6,35.6,0.0,,,,,,
133,2018-05-14,27.8,,34.5,6.1,,,,,,
134,2018-05-15,27.9,24.2,34.7,6.1,,,,,,
135,2018-05-16,27.6,,,21.6,,,,,,
136,2018-05-17,26.7,24.4,33.8,3.6,,,,,,
137,2018-05-18,29.1,23.9,,,,,,,,
138,2018-05-19,30.6,24.5,,,,,,,,
139,2018-05-20,30.1,26.0,36.8,,,,,,,
140,2018-05-21,28.6,,,4.8,,,,,,
141,2018-05-22,28.9,,35.2,60.2,,,,,,
142,2018-05-23,29.3,22.7,34.0,3.3,,,,,,
143,2018-05-24,29.4,25.6,33.9,0.0,,,,,,
144,2018-05-25,28.9,,33.0,0.0,,,,,,
145,2018-05-26,26.6,23.2,32.0,14.0,,,,,,
146,2018-05-27,28.3,24.7,32.2,0.0,,,,,,
147,2018-05-28,28.6,24.5,32.8,0.5,,,,,,
148,2018-05-29,28.3,,,40.6,,,,,,
149,2018-05-30,28.7,23.9,34.0,0.3,,,,,,
150,2018-05-31,28.2,,,0.0,,,,,,
151,2018-06-01,30.7,24.5,35.4,,,,,,,
152,2018-06-02,29.6,,,,,,,,,
153,2018-06-03,30.0,25.3,,,,,,,,
154,2018-06-04,28.9,,34.1,29.2,,,,,,
155,2018-06-05,27.9,24.1,33.2,22.6,,,,,,
156,2018-06-06,29.0,24.9,33.2,3.3,,,,,,
157,2018-06-07,27.3,25.2,31.1,17.8,,,,,,
158,2018-06-08,26.4,,,115.1,,,,,,
159,2018-06-09,29.0,23.9,33.2,10.4,,,,,,
160,2018-06-10,26.9,25.9,,12.2,,,,,,
161,2018-06-11,26.3,23.7,,15.0,,,,,,
162,2018-06-12,28.2,25.2,,0.8,,,,,,
163,2018-06-13,28.6,,33.7,6.6,,,,,,
164,2018-06-14,27.5,24.6,,28.7,,,,,,
165,2018-06-15,27.2,,,20.6,,,,,,
166,2018-06-16,27.4,24.5,29.6,0.0,,,,,,
167,2018-06-17,28.6,25.4,32.2,0.0,,,,,,
168,2018-06-18,28.8,26.4,,0.3,,,,,,
169,2018-06-19,29.1,26.4,,0.0,,,,,,
170,2018-06-20,29.9,26.0,,0.0,,,,,,
171,2018-06-21,27.4,,,16.8,,,,,,
172,2018-06-22,28.6,23.6,32.8,14.7,,,,,,
173,2018-06-23,27.2,25.1,,24.1,,,,,,
174,2018-06-24,26.6,24.5,,3.8,,,,,,
175,2018-06-25,26.6,,30.6,43.2,,,,,,
176,2018-06-26,26.6,23.4,,25.1,,,,,,
177,2018-06-27,26.9,22.5,31.3,40.9,,,,,,
178,2018-06-28,28.3,24.7,33.1,1.3,,,,,,
179,2018-06-29,26.5,,,19.3,,,,,,
180,2018-06-30,29.5,24.9,,0.5,,,,,,
181,2018-07-01,30.1,25.6,34.3,,,,,,,
182,2018-07-02,29.2,,,0.8,,,,,,
183,2018-07-03,29.3,25.2,,6.9,,,,,,
184,2018-07-04,30.0,25.1,34.7,2.3,,,,,,
185,2018-07-05,29.2,26.3,32.0,,,,,,,
186,2018-07-06,28.3,,33.2,3.6,,,,,,
187,2018-07-07,26.6,24.0,,25.1,,,,,,
188,2018-07-08,25.8,23.3,,78.7,,,,,,
189,2018-07-09,26.1,,27.6,55.9,,,,,,
190,2018-07-10,27.1,24.0,30.2,21.6,,,,,,
191,2018-07-11,27.4,24.6,31.5,16.5,,,,,,
192,2018-07-12,26.6,24.2,29.5,32.8,,,,,,
193,2018-07-13,26.3,,30.5,7.6,,,,,,
194,2018-07-14,26.4,24.0,,29.7,,,,,,
195,2018-07-15,25.7,24.0,27.7,88.9,,,,,,
196,2018-07-16,24.3,23.5,25.5,294.6,,,,,,
197,2018-07-17,25.9,23.9,27.0,11.4,,,,,,
198,2018-07-18,27.5,24.5,,17.5,,,,,,
199,2018-07-19,26.7,25.5,,3.8,,,,,,
200,2018-07-20,27.5,,,2.0,,,,,,
201,2018-07-21,27.1,24.8,30.3,7.4,,,,,,
202,2018-07-22,25.8,,29.0,40.4,,,,,,
203,2018-07-23,27.3,23.8,31.5,13.0,,,,,,
204,2018-07-24,26.2,23.5,,14.5,,,,,,
205,2018-07-25,25.7,,28.4,31.2,,,,,,
206,2018-07-26,24.6,23.8,,28.7,,,,,,
207,2018-07-27,24.4,23.6,,134.1,,,,,,
208,2018-07-28,24.7,,26.0,23.6,,,,,,
209,2018-07-29,24.4,23.2,,37.3,,,,,,
210,2018-07-30,24.9,23.0,28.8,67.3,,,,,,
211,2018-07-31,26.9,23.0,,11.9,,,,,,
212,2018-08-01,27.6,,32.5,5.1,,,,,,
213,2018-08-02,26.4,,,52.8,,,,,,
214,2018-08-03,27.2,24.0,,2.3,,,,,,
215,2018-08-04,28.2,24.2,,1.3,,,,,,
216,2018-08-05,27.2,24.9,,1.5,,,,,,
217,2018-08-06,27.8,24.3,,0.0,,,,,,
218,2018-08-07,29.0,24.9,33.6,0.0,,,,,,
219,2018-08-08,29.1,24.6,,1.8,,,,,,
220,2018-08-09,27.1,24.5,,19.3,,,,,,
221,2018-08-10,26.3,24.0,29.0,37.8,,,,,,
222,2018-08-11,27.5,25.1,,0.5,,,,,,
223,2018-08-12,27.1,,,14.0,,,,,,
224,2018-08-13,24.8,24.2,25.7,85.3,,,,,,
225,2018-08-14,26.2,24.4,,11.7,,,,,,
226,2018-08-15,27.1,25.0,29.2,0.5,,,,,,
227,2018-08-16,26.6,25.2,29.0,4.1,,,,,,
228,2018-08-17,26.2,24.7,28.7,0.5,,,,,,
229,2018-08-18,27.6,24.3,32.0,1.0,,,,,,
230,2018-08-19,27.4,24.9,,7.9,,,,,,
231,2018-08-20,27.5,,,0.5,,,,,,
232,2018-08-21,26.7,,,35.3,,,,,,
233,2018-08-22,26.2,23.0,28.2,4.8,,,,,,
234,2018-08-23,25.6,,,38.9,,,,,,
235,2018-08-24,25.8,23.6,,41.7,,,,,,
236,2018-08-25,25.3,22.9,,47.5,,,,,,
237,2018-08-26,24.9,23.3,,20.1,,,,,,
238,2018-08-27,26.6,24.0,30.4,18.0,,,,,,
239,2018-08-28,26.8,24.2,29.4,1.0,,,,,,
240,2018-08-29,25.1,24.2,,5.3,,,,,,
241,2018-08-30,26.3,23.8,28.5,9.4,,,,,,
242,2018-08-31,27.8,24.9,,2.3,,,,,,
243,2018-09-01,28.2,24.9,32.2,0.3,,,,,,
244,2018-09-02,28.3,25.0,,,,,,,,
245,2018-09-03,25.4,,30.0,25.7,,,,,,
246,2018-09-04,26.9,23.2,,11.2,,,,,,
247,2018-09-05,26.7,24.0,,4.6,,,,,,
248,2018-09-06,29.4,24.2,,3.0,,,,,,
249,2018-09-07,28.9,,,40.9,,,,,,
250,2018-09-08,27.1,23.2,,,,,,,,
251,2018-09-09,27.7,23.5,31.4,,,,,,,
252,2018-09-10,28.4,24.2,33.2,0.0,,,,,,
253,2018-09-11,28.5,24.1,,74.9,,,,,,
254,2018-09-12,28.1,24.1,,11.2,,,,,,
255,2018-09-13,28.3,24.5,32.5,6.1,,,,,,
256,2018-09-14,28.6,24.5,34.2,4.6,,,,,,
257,2018-09-15,30.9,24.9,34.7,0.3,,,,,,
258,2018-09-16,30.3,,34.8,0.0,,,,,,
259,2018-09-17,,,,,,,,,,
260,2018-09-18,25.1,,,4.6,,,,,,
261,2018-09-19,28.7,24.0,,0.0,,,,,,
262,2018-09-20,28.8,,,0.0,,,,,,
263,2018-09-21,29.6,22.8,,,,,,,,
264,2018-09-22,28.7,24.4,34.5,12.7,,,,,,
265,2018-09-23,28.1,24.2,33.8,13.0,,,,,,
266,2018-09-24,29.3,24.4,,7.6,,,,,,
267,2018-09-25,29.2,25.0,,0.0,,,,,,
268,2018-09-26,29.9,26.2,34.8,2.8,,,,,,
269,2018-09-27,28.4,,33.9,0.0,,,,,,
270,2018-09-28,29.2,25.4,,0.0,,,,,,
271,2018-09-29,27.4,,32.3,,,,,,,
272,2018-09-30,28.7,22.7,33.1,,,,,,,
273,2018-10-01,27.9,,33.5,,,,,,,
274,2018-10-02,27.9,22.2,,,,,,,,
275,2018-10-03,27.8,,32.0,,,,,,,
276,2018-10-04,26.8,22.7,,,,,,,,
277,2018-10-05,27.7,22.0,,,,,,,,
278,2018-10-06,28.1,21.8,,,,,,,,
279,2018-10-07,27.9,21.6,,,,,,,,
280,2018-10-08,28.4,21.8,34.2,,,,,,,
281,2018-10-09,29.3,22.7,34.5,,,,,,,
282,2018-10-10,28.3,,34.0,,,,,,,
283,2018-10-11,26.8,,,,,,,,,
284,2018-10-12,26.9,20.9,,,,,,,,
285,2018-10-13,28.3,22.7,,0.0,,,,,,
286,2018-10-14,29.7,24.0,35.2,0.0,,,,,,
287,2018-10-15,29.9,25.0,35.0,,,,,,,
288,2018-10-16,29.5,24.5,,,,,,,,
289,2018-10-17,28.7,23.9,33.9,42.4,,,,,,
290,2018-10-18,28.2,,34.5,2.0,,,,,,
291,2018-10-19,28.8,24.2,,,,,,,,
292,2018-10-20,28.7,23.5,33.7,,,,,,,
293,2018-10-21,28.4,24.7,32.7,0.0,,,,,,
